file,click_idx,window_text,t_lo_s,t_hi_s,reason,sample,time_s,ncc,range_db,note
IntlSB9,3,86-87s,86,87,multi_candidate,4101841,85.455021,0.933,50.0,
IntlSB9,4,139-140s,139,140,multi_candidate,6654425,138.633854,0.937,41.5,
IntlSB9,5,196-197s,196,197,multi_candidate,9460685,197.097604,0.988,50.5,
IntlSB9,6,260-261s,260,261,multi_candidate,12520501,260.843771,0.996,53.4,
KSC1,3,87-88s,87,88,"multi_candidate,low_conf",4153690,86.535208,0.895,17.5,
KSC1,4,111-113s,111,113,low_conf,5394136,112.377833,0.868,39.5,
KSC1,5,145-146s,145,146,"multi_candidate,low_conf",6957869,144.955604,0.823,17.3,
KSC1,6,183-184s,183,184,low_conf,8840651,184.180229,0.864,39.9,
KSC2,2,31-32s,31,32,multi_candidate,1463835,30.496562,0.973,36.2,
KSC2,5,137-138s,137,138,multi_candidate,6621249,137.942688,0.992,54.2,
KSC2,6,203-204s,203,204,"multi_candidate,low_conf",9725627,202.617229,0.901,15.6,
NJF6,5,162-163s,162,163,multi_candidate,7774108,161.960583,0.908,41.5,
NJF6,7,212-212s,212,212,low_conf,10197163,212.440896,0.862,48.1,
NJ_C5,1,1-1s,1,1,"multi_candidate,low_conf",17743,0.369646,0.845,20.6,
NJ_C5,2,34-35s,34,35,multi_candidate,1672422,34.842125,0.926,19.3,
NJ_C5,3,76-77s,76,77,multi_candidate,3671084,76.480917,0.904,23.4,
NJ_C5,4,106-107s,106,107,low_conf,5123765,106.745104,0.917,17.4,
NJ_C5,5,141-142s,141,142,"multi_candidate,low_conf",6778652,141.221917,0.719,16.6,
NJ_C5,6,196-197s,196,197,low_conf,9442293,196.714438,0.932,16.6,
NJ_C5,7,215-215s,215,215,"multi_candidate,low_conf",10290159,214.378312,0.871,20.3,
SM_C1,1,9-9s,9,9,"multi_candidate,low_conf",424721,8.848354,0.784,12.5,note
SM_C1,2,44-45s,44,45,"multi_candidate,low_conf",2118808,44.141833,0.891,31.6,
SM_C1,3,68-68s,68,68,"multi_candidate,low_conf",3249379,67.695396,0.841,12.2,
SM_C1,4,96-97s,96,97,"multi_candidate,low_conf",4575831,95.329813,0.878,18.3,
SM_C1,5,126-127s,126,127,multi_candidate,6033073,125.689021,0.965,27.7,
SM_C1,6,161-161s,161,161,low_conf,7739191,161.233146,0.800,17.6,
SM_C10,2,29-30s,29,30,multi_candidate,1387133,28.898604,0.954,35.2,
SM_C10,4,70-71s,70,71,multi_candidate,3360422,70.008792,0.978,36.8,
SM_C11,,,,,only_6_clicks,,,,,2s; 38s-39s; 1'06-1'07; 2'14-2'15; 2'41-2'42; 3'03-3'04
SM_C11,2,38-39s,38,39,multi_candidate,1808677,37.680771,0.906,35.8,
SM_C11,5,161-162s,161,162,"multi_candidate,low_conf",7747119,161.398313,0.773,13.4,
SM_C11,6,183-184s,183,184,low_conf,8753932,182.373583,0.713,15.1,
SM_C2,1,3-3s,3,3,multi_candidate,134558,2.803292,0.985,32.0,
SM_C2,6,144-145s,144,145,multi_candidate,6884349,143.423937,0.991,46.4,
SM_C5,1,1-1s,1,1,multi_candidate,25131,0.523563,0.970,40.0,
SM_C5,4,69-70s,69,70,multi_candidate,3352642,69.846708,0.992,44.6,
SM_C5,7,164-165s,164,165,multi_candidate,7933017,165.271187,0.962,25.0,
SUZC3,1,2-2s,2,2,low_conf,116586,2.428875,0.938,14.1,
SUZC3,3,135-136s,135,136,multi_candidate,6484525,135.094271,0.920,25.2,
SUZC3,5,275-276s,275,276,"multi_candidate,low_conf",13170797,274.391604,0.763,20.1,
SUZF5,1,3-3s,3,3,"multi_candidate,low_conf",108391,2.258146,0.814,17.1,
SUZF5,2,65-66s,65,66,low_conf,3188472,66.426500,0.912,15.0,
SUZF5,3,161-162s,161,162,"multi_candidate,low_conf",7702473,160.468187,0.876,32.1,
SUZF5,4,240-241s,240,241,"multi_candidate,low_conf",11502254,239.630292,0.897,17.2,
SUZF5,6,389-390s,389,390,"multi_candidate,low_conf",18710044,389.792583,0.853,14.9,
Wei_laoshi_35,1,4-4s,4,4,"multi_candidate,low_conf",178542,3.719625,0.879,15.9,
Wei_laoshi_35,2,105-106s,105,106,multi_candidate,5037872,104.955667,0.990,52.9,
Wei_laoshi_35,4,269-270s,269,270,multi_candidate,12899038,268.729958,0.984,50.1,
junjie_376,2,74-75s,74,75,"multi_candidate,low_conf",3515961,73.249188,0.885,14.0,
junjie_376,4,242-243s,242,243,multi_candidate,11649964,242.707583,0.986,31.4,
junjie_376,7,531-531s,531,531,multi_candidate,25468932,530.602750,0.964,35.8,
